City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,moyynkum,44.2914,72.9469,15.96,81,87,14.56,KZ,1738728157
1,atafu village,-8.5421,-172.5159,83.44,70,15,12.53,TK,1738728157
2,port-aux-francais,-49.35,70.2167,42.33,97,96,24.67,TF,1738728157
3,grytviken,-54.2811,-36.5092,36.63,88,69,18.12,GS,1738728157
4,port elizabeth,-33.918,25.5701,71.31,99,94,11.99,ZA,1738727976
5,bilibino,68.0546,166.4372,-44.46,94,26,3.6,RU,1738728158
6,adamstown,-25.066,-130.1015,77.54,77,13,10.6,PN,1738728087
7,klyuchi,52.2667,79.1667,14.59,94,83,9.69,RU,1738728158
8,opuwo,-18.0607,13.84,68.77,81,100,6.26,NA,1738728158
9,iqaluit,63.7506,-68.5145,-25.87,68,20,2.3,CA,1738728158
10,waitangi,-43.9535,-176.5597,56.82,82,54,5.99,NZ,1738728158
11,nar'yan-mar,67.6713,53.087,16.45,95,100,12.17,RU,1738728158
12,bethel,41.3712,-73.414,27.55,61,31,6.04,US,1738728158
13,ribeira grande,38.5167,-28.7,64.78,95,99,15.01,PT,1738728158
14,constantia,44.1833,28.65,32.7,71,4,12.3,RO,1738728004
15,west island,-12.1568,96.8225,85.98,84,93,8.05,CC,1738728158
16,coahuayana de hidalgo,18.7,-103.6583,71.29,94,0,3.49,MX,1738728158
17,papatowai,-46.5619,169.4708,66.2,56,100,4.12,NZ,1738728159
18,beau vallon,-20.4189,57.6953,82.63,89,40,5.75,MU,1738728159
19,cidreira,-30.1811,-50.2056,76.71,95,1,9.4,BR,1738728159
20,funtua,11.5233,7.3081,62.22,13,8,9.84,NG,1738728159
21,gadzhiyevo,69.2551,33.3362,2.7,93,100,19.6,RU,1738728159
22,sitka,57.0531,-135.33,27.19,68,4,4.63,US,1738728159
23,valparaiso,-33.0393,-71.6273,69.44,42,0,3.44,CL,1738728005
24,saint-pierre,-21.3393,55.4781,83.88,65,0,2.3,RE,1738728159
25,bredasdorp,-34.5322,20.0403,63.3,81,37,7.4,ZA,1738728159
26,iskateley,67.6803,53.1512,16.43,94,100,12.21,RU,1738728159
27,carnarvon,-24.8667,113.6333,83.23,68,10,9.44,AU,1738728159
28,olonkinbyen,70.9221,-8.7187,29.19,76,66,20.83,SJ,1738728160
29,isafjordur,66.0755,-23.124,23.74,60,77,16.35,IS,1738728160
30,port mathurin,-19.6833,63.4167,80.89,79,7,10.49,MU,1738728160
31,ushuaia,-54.8,-68.3,46.06,87,20,2.3,AR,1738728006
32,stanley,54.868,-1.6985,34.52,90,4,11.18,GB,1738728160
33,malango,-2.9627,119.9001,87.89,41,75,6.38,ID,1738728160
34,puerto ayora,-0.7393,-90.3518,76.55,97,4,5.19,EC,1738728160
35,puerto natales,-51.7236,-72.4875,41.67,94,80,4.38,CL,1738728160
36,mangrol,21.1167,70.1167,67.48,58,1,13.44,IN,1738728161
37,chonchi,-42.6128,-73.8092,52.12,80,1,1.77,CL,1738728062
38,ilulissat,69.2167,-51.1,-3.98,65,100,9.22,GL,1738728161
39,santa terezinha,-29.9002,-50.0904,76.32,94,4,9.35,BR,1738728161
40,wailua homesteads,22.0669,-159.378,70.59,70,0,12.66,US,1738728161
41,haiku-pauwela,20.9219,-156.3051,72.21,79,43,14.0,US,1738728161
42,lakatoro,-16.0999,167.4164,83.07,75,96,6.71,VU,1738728161
43,juegang,32.3174,121.1855,46.98,38,86,15.03,CN,1738728161
44,kavieng,-2.5744,150.7967,84.97,65,81,8.1,PG,1738728161
45,vadso,70.0744,29.7487,12.36,85,100,23.02,NO,1738728161
46,albany,42.6001,-73.9662,19.81,74,11,9.93,US,1738728161
47,nenjiang,49.1833,125.2167,-8.72,92,90,5.82,CN,1738728162
48,hawaiian paradise park,19.5933,-154.9731,71.87,87,23,4.0,US,1738728162
49,yemva,62.59,50.8594,22.84,97,100,4.18,RU,1738728162
50,longyearbyen,78.2186,15.6401,26.44,80,40,27.63,SJ,1738728162
51,la passe,45.5549,-0.8967,42.93,77,66,4.36,FR,1738728162
52,tazovsky,67.4667,78.7,-12.32,100,100,5.53,RU,1738728005
53,bac lieu,9.285,105.7244,84.25,55,26,9.24,VN,1738728079
54,mitu,1.1983,-70.1733,74.82,78,86,1.66,CO,1738728162
55,colonia,50.9333,6.95,34.45,86,100,4.61,DE,1738728006
56,blackmans bay,-43.0167,147.3167,68.52,46,4,9.24,AU,1738728163
57,abadeh,31.1608,52.6506,36.27,28,0,6.91,IR,1738728163
58,emerald,-23.5333,148.1667,72.28,91,100,8.79,AU,1738728163
59,yorkton,51.2167,-102.4677,-7.76,77,100,4.61,CA,1738728008
60,nema,57.5067,50.5011,18.32,95,96,7.18,RU,1738728163
61,magong,23.5654,119.5863,60.58,65,95,22.46,TW,1738728163
62,alvorada,-12.48,-49.1247,73.27,91,100,1.57,BR,1738728163
63,port augusta,-32.5,137.7667,91.22,27,0,15.66,AU,1738728163
64,wulingyuan,29.3494,110.5441,43.05,77,100,6.85,CN,1738728163
65,margaret river,-33.95,115.0667,82.87,46,24,14.63,AU,1738728163
66,mazagao,-0.115,-51.2894,74.64,95,93,2.08,BR,1738728117
67,naze,28.3667,129.4833,50.92,52,100,17.92,JP,1738728164
68,praia da vitoria,38.7333,-27.0667,62.85,94,75,17.74,PT,1738728164
69,edinburgh of the seven seas,-37.0676,-12.3116,61.99,72,58,16.91,SH,1738728164
70,port alfred,-33.5906,26.891,72.18,94,99,5.99,ZA,1738728164
71,laayoune,27.1622,-13.2032,53.94,82,40,6.91,EH,1738727950
72,talnakh,69.4865,88.3972,-14.78,92,75,7.85,RU,1738728164
73,amahai,-3.3333,128.9167,86.9,62,100,5.48,ID,1738728164
74,cranbrook,49.4999,-115.7688,6.64,61,100,0.0,CA,1738728116
75,alice springs,-23.7,133.8833,98.15,20,21,20.71,AU,1738728164
76,nizhnyaya poyma,56.1622,97.1933,4.6,92,100,10.49,RU,1738728164
77,narvik,68.4384,17.4272,25.81,94,100,12.73,NO,1738728164
78,la ronge,55.1001,-105.2842,-10.98,77,0,3.44,CA,1738728164
79,lihue,21.9789,-159.3672,71.19,60,0,12.66,US,1738728165
80,brookings,44.3114,-96.7984,6.06,73,0,10.36,US,1738728165
81,yellowknife,62.456,-114.3525,11.41,93,100,6.91,CA,1738728165
82,aguilares,-27.4338,-65.6143,84.38,35,79,4.18,AR,1738728165
83,masterton,-40.9597,175.6575,77.34,22,9,7.92,NZ,1738728165
84,ambad,19.6167,75.8,75.76,27,10,7.4,IN,1738728165
85,holualoa,19.6228,-155.9522,72.18,69,17,3.6,US,1738728165
86,laojunmiao,39.8333,97.7333,12.49,59,100,3.06,CN,1738728165
87,alofi,-19.0595,-169.9187,76.89,94,75,9.22,NU,1738728165
88,lisieux,49.1667,0.1667,43.16,97,98,3.51,FR,1738728165
89,elliot lake,46.3834,-82.6331,-10.28,99,60,3.78,CA,1738728165
90,tiksi,71.6872,128.8694,-15.21,86,100,6.42,RU,1738728165
91,didouche mourad,36.4525,6.6364,46.62,93,75,2.3,DZ,1738728166
92,buta,2.7858,24.73,72.27,46,100,1.54,CD,1738728166
93,kuyeda,56.4311,55.5886,17.02,91,100,6.58,RU,1738728166
94,college,64.8569,-147.8028,10.45,75,100,0.0,US,1738728166
95,necochea,-38.5473,-58.7368,61.88,58,42,12.19,AR,1738727983
96,flying fish cove,-10.4217,105.6791,78.48,100,100,13.8,CX,1738728166
97,port lincoln,-34.7333,135.8667,70.83,53,4,15.01,AU,1738728166
98,hami,42.8,93.45,21.99,40,0,0.81,CN,1738728166
99,sittwe,20.15,92.9,73.92,37,2,3.31,MM,1738728166
